Topic,Definition,Example metrics to extract
Climate & GHG,Direct and value-chain greenhouse-gas emissions and climate impact.,Scope 1; Scope 2; Scope 3; carbon intensity; emissions trend
Energy,"Energy demand, fuel mix, electricity sourcing and renewable energy.",Total energy; electricity; fuel; renewable %; energy intensity
Water,"Water withdrawal, consumption, discharge, recycling and water-stress exposure.",Withdrawal; consumption; discharge; stressed-area water; recycled/reused water
Waste & Circularity,"Waste generation, hazardous waste, diversion, recycled inputs and circularity.",Total waste; hazardous waste; landfill; recycled/reused/recovered; recycled input %
Biodiversity & Land,"Land, ecosystem, deforestation and nature impacts/dependencies.",Land disturbed/restored; protected-area exposure; deforestation; biodiversity plans
Pollution & Toxic Releases,"Air pollutants, chemical releases, spills and environmental incidents.",NOx; SOx; VOC; PM; spills; toxic releases; environmental fines
Workers & Labor,"Employment quality, turnover, training, compensation, inclusion and labor relations.",Turnover; training; pay; engagement; bargaining coverage; diversity
Health & Safety,Occupational health and safety for employees and contractors.,Fatalities; TRIR; LTIR/LTIFR; occupational disease; days lost
Human Rights & Supply Chain,Human-rights exposure and sustainability performance in the supply chain.,Supplier audits; forced/child labor; traceability; corrective actions
Product & Customer Responsibility,"Product safety, quality, accessibility, marketing and customer outcomes.",Recalls; product incidents; customer safety; complaints; responsible marketing
Data Privacy & Cybersecurity,"Protection of customer, employee and operational data and systems.",Breaches; customers affected; privacy incidents; cyber resilience
Community & Social Impact,"Impacts on communities, affordability, access and social license to operate.",Community investment; grievances; indigenous rights; access/affordability
Transition & Green Investment,Capital allocation and innovation supporting sustainable transition.,Green CapEx; sustainable revenue; clean R&D; renewable capacity; target progress
Physical Climate Risk,"Exposure and adaptation to flood, heat, drought, storms, wildfire and sea-level rise.",Assets/revenue exposed; scenario analysis; adaptation plan/investment
Resource & Supply Resilience,"Dependence on scarce resources, critical inputs and supplier concentration.",Critical suppliers/materials; concentration; water/energy dependency; alternatives
